代码,名称,行业,评级,总分,质量分,估值分,催化分,左侧分,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,市盈率-动态,市净率,ROE,净利同比,营收同比,毛利率,预告类型,预告变动幅度,距60日高点,20日涨跌幅,快报净利同比,换手率,流通市值,红旗
300980,祥源新材,塑料,,67.7,40.33854659507143,58.07807807807808,84.3,100.0,22.32,0.045,-24.22339161432694,,60.324,2.165,1.22,140.94,25.2732872943,27.2039652331,预增,91.125,-35.38862353452019,-1.1514614703277193,,2.71216,2232194139.36,
600739,辽宁成大,生物制品,,67.57,7.120460020714285,89.04761904761904,92.67999999999999,100.0,10.67,-0.744,-3.351449275362317,,22.055,0.551,1.89,58.6,-19.0983714855,13.353644029,预增,122.55,-10.486577181208055,2.694898941289692,,0.77305,16243110951.759998,疑似价值陷阱
601933,永辉超市,一般零售,,67.48,69.92292248300001,9.000000000000002,97.0,100.0,3.19,-2.744,-7.267441860465118,,-11.0,13.303,14.32,94.4,-23.5269702998,22.7720914762,扭亏,204.17,-15.384615384615383,3.908794788273618,,1.60766,28470868556.35,
600918,中泰证券,证券Ⅱ,,67.31,37.425,45.29411764705882,99.016,100.0,5.51,-1.957,-2.821869488536155,,30.611,0.976,0.97,26.8,25.136663686,,预增,146.31,-8.319467554076542,-2.3049645390070927,,0.81561,25141160587.13,疑似价值陷阱
688257,新锐股份,通用设备,,67.28,62.52987040347623,31.619131197893815,82.45599999999999,100.0,60.81,2.202,0.4642402815179469,,67.439,8.075,12.41,576.15,111.5669933744,47.0561080436,预增,84.21,-45.608228980322,-10.6786133960047,,2.98745,21603559995.99,
600841,动力新科,汽车零部件,,67.23,1.6894782472142853,96.13346721248166,90.76133333333334,100.0,5.77,-0.688,-24.178712220762165,,2.787,1.247,0.57,117.2243463564,11.4836636216,10.3702695461,扭亏,126.605,-35.09561304836897,4.528985507246386,,0.91085,6018251272.68,
300054,鼎龙股份,电子化学品Ⅱ,,67.09,60.67330795267094,37.204301075268816,78.34266666666666,100.0,76.14,1.628,4.473106476399558,,98.883,13.306,4.71,77.99,23.8179386419,54.9470617542,预增,68.785,-28.14947626686798,9.696009220573409,,2.7069,56670606681.12,
603162,海通发展,航运港口,,67.08,59.948693961142865,16.36363636363636,100.0,100.0,11.33,0.443,-6.825657894736848,,22.216,3.197,11.16,502.6,92.7753444935,19.8681715456,预增,508.0,-12.71186440677966,7.597340930674279,,8.68125,4784086143.87,
300548,长芯博创,通信设备,,67.01,66.05,24.89855072463768,83.87066666666666,100.0,194.67,8.102,-15.792888658188431,,167.819,27.449,6.42,45.0,24.5307771672,49.2218910514,预增,89.515,-34.63062458025521,17.122916792010102,,6.19649,57273579401.85,当日已大涨
601336,新华保险,保险Ⅱ,,66.98,48.825,55.99999999999999,73.33333333333333,100.0,57.78,-1.214,1.137755995098888,,4.968,1.459,5.53,10.5,-33.7375007485,,预增,50.0,-9.43573667711598,-4.873230161343434,,0.67391,120496685065.2,
603489,八方股份,电机Ⅱ,,66.94,16.47778290507143,68.0,100.0,100.0,27.95,-0.107,-23.087506879471665,,63.523,2.367,1.63,104.87,24.5219161473,27.3638960671,预增,325.43,-30.00250438266967,9.693877551020403,,0.85191,6557572513.05,
