date,open,close,high,low,volume,指数
2025-07-11,10637.450,10696.100,10757.240,10610.800,742645890.000,深证成指
2025-07-14,10705.440,10684.520,10715.070,10663.870,646463331.000,深证成指
2025-07-15,10700.370,10744.560,10784.970,10651.150,725709818.000,深证成指
2025-07-16,10749.710,10720.810,10804.180,10697.400,616594267.000,深证成指
2025-07-17,10718.850,10873.620,10873.620,10718.850,635545177.000,深证成指
2025-07-18,10902.720,10913.840,10946.400,10865.890,644428695.000,深证成指
2025-07-21,10937.600,11007.490,11008.480,10922.520,732596840.000,深证成指
2025-07-22,11004.010,11099.830,11099.830,10970.220,786153137.000,深证成指
2025-07-23,11101.320,11059.040,11158.220,11042.200,772954593.000,深证成指
2025-07-24,11069.600,11193.060,11193.060,11069.600,742250097.000,深证成指
2025-07-25,11196.200,11168.140,11210.910,11139.320,724401445.000,深证成指
2025-07-28,11176.390,11217.580,11226.180,11114.930,684039262.000,深证成指
2025-07-29,11199.630,11289.410,11289.420,11136.280,687782458.000,深证成指
2025-07-30,11262.980,11203.030,11307.620,11127.000,713948130.000,深证成指
2025-07-31,11208.460,11009.770,11223.640,10976.210,741311343.000,深证成指
2025-08-01,11001.250,10991.320,11068.310,10919.890,624304840.000,深证成指
2025-08-04,10932.620,11041.560,11041.560,10928.490,588265628.000,深证成指
2025-08-05,11078.580,11106.960,11106.960,11041.470,637905912.000,深证成指
2025-08-06,11091.830,11177.780,11177.880,11086.720,695936984.000,深证成指
2025-08-07,11189.490,11157.940,11229.590,11089.580,711415718.000,深证成指
2025-08-08,11136.340,11128.670,11184.550,11108.460,681934695.000,深证成指
2025-08-11,11159.030,11291.430,11311.880,11159.030,713852946.000,深证成指
2025-08-12,11292.460,11351.630,11351.630,11255.480,709632720.000,深证成指
2025-08-13,11371.080,11551.360,11558.590,11362.900,795541705.000,深证成指
2025-08-14,11557.000,11451.430,11607.410,11417.930,867991462.000,深证成指
2025-08-15,11419.280,11634.670,11647.390,11419.280,798946151.000,深证成指
2025-08-18,11690.940,11835.570,11919.570,11642.590,1002271708.000,深证成指
2025-08-19,11827.900,11821.630,11908.680,11774.920,943169649.000,深证成指
2025-08-20,11749.990,11926.740,11926.740,11677.850,894032919.000,深证成指
2025-08-21,11965.800,11919.760,12011.780,11865.460,915642356.000,深证成指
2025-08-22,11902.040,12166.060,12167.280,11902.040,891655701.000,深证成指
2025-08-25,12291.120,12441.070,12477.970,12246.560,1070803277.000,深证成指
2025-08-26,12398.810,12473.170,12561.490,12361.490,968856013.000,深证成指
2025-08-27,12483.190,12295.070,12665.360,12295.070,1143640219.000,深证成指
2025-08-28,12254.270,12571.370,12571.370,12199.940,1060772709.000,深证成指
2025-08-29,12568.630,12696.150,12791.180,12508.970,900391593.000,深证成指
2025-09-01,12773.220,12828.950,12830.180,12663.340,906187103.000,深证成指
2025-09-02,12817.030,12553.840,12857.160,12450.460,991083796.000,深证成指
2025-09-03,12599.960,12472.000,12669.800,12393.090,856848815.000,深证成指
2025-09-04,12526.300,12118.700,12580.090,11967.570,899356047.000,深证成指
2025-09-05,12140.760,12590.560,12597.890,12085.540,816494226.000,深证成指
2025-09-08,12631.980,12666.840,12689.170,12511.420,822135722.000,深证成指
2025-09-09,12598.290,12510.600,12653.870,12434.840,758347025.000,深证成指
2025-09-10,12511.080,12557.680,12621.190,12415.190,716827859.000,深证成指
2025-09-11,12570.870,12979.890,12979.890,12516.350,835692601.000,深证成指
2025-09-12,12941.260,12924.130,13048.520,12905.470,868290492.000,深证成指
2025-09-15,12971.430,13005.770,13098.780,12943.400,798311125.000,深证成指
2025-09-16,13017.580,13063.970,13071.220,12863.820,889464182.000,深证成指
2025-09-17,13062.640,13215.460,13226.200,13004.380,853571717.000,深证成指
2025-09-18,13161.150,13075.660,13328.100,12915.970,1073527791.000,深证成指
2025-09-19,13074.910,13070.860,13182.600,13016.060,819563965.000,深证成指
2025-09-22,13119.830,13157.970,13157.970,13006.360,722197293.000,深证成指
2025-09-23,13246.930,13119.820,13267.900,12875.330,860542094.000,深证成指
2025-09-24,13037.080,13356.140,13356.140,13009.640,727766643.000,深证成指
2025-09-25,13333.020,13445.900,13529.330,13295.530,740441210.000,深证成指
2025-09-26,13394.790,13209.000,13453.860,13205.630,694451360.000,深证成指
2025-09-29,13248.200,13479.430,13531.980,13239.730,675803476.000,深证成指
2025-09-30,13504.650,13526.510,13598.180,13460.320,658434833.000,深证成指
2025-10-09,13598.350,13725.560,13806.690,13565.290,796986885.000,深证成指
2025-10-10,13633.190,13355.420,13644.510,13304.600,780098602.000,深证成指
2025-10-13,12837.250,13231.470,13256.510,12837.250,742486462.000,深证成指
2025-10-14,13369.560,12895.110,13405.510,12844.020,781349621.000,深证成指
2025-10-15,12919.270,13118.750,13123.280,12817.890,664972505.000,深证成指
2025-10-16,13064.260,13086.410,13218.170,13033.370,630427150.000,深证成指
2025-10-17,13060.240,12688.940,13091.760,12677.440,667473475.000,深证成指
2025-10-20,12877.700,12813.210,12948.320,12742.840,582877736.000,深证成指
2025-10-21,12880.170,13077.320,13100.080,12848.320,635613700.000,深证成指
2025-10-22,12985.960,12996.610,13078.640,12932.010,593388178.000,深证成指
2025-10-23,12959.420,13025.450,13042.340,12803.860,614713854.000,深证成指
2025-10-24,13091.340,13289.180,13289.180,13091.340,652544989.000,深证成指
2025-10-27,13448.920,13489.400,13510.710,13346.810,724022532.000,深证成指
2025-10-28,13411.670,13430.100,13572.900,13375.320,682532176.000,深证成指
2025-10-29,13484.010,13691.380,13691.380,13475.650,730709746.000,深证成指
2025-10-30,13661.610,13532.130,13700.250,13509.240,773249173.000,深证成指
2025-10-31,13517.170,13378.210,13618.150,13378.210,745760929.000,深证成指
2025-11-03,13364.420,13404.060,13404.060,13158.310,716885878.000,深证成指
2025-11-04,13373.550,13175.220,13399.920,13094.210,682919687.000,深证成指
2025-11-05,12953.840,13223.560,13273.240,12953.840,702201489.000,深证成指
2025-11-06,13272.470,13452.420,13468.400,13272.470,708963303.000,深证成指
2025-11-07,13380.350,13404.060,13496.700,13322.610,700567747.000,深证成指
2025-11-10,13453.370,13427.610,13502.160,13306.660,757097254.000,深证成指
2025-11-11,13476.250,13289.010,13493.170,13271.670,733580236.000,深证成指
2025-11-12,13240.700,13240.620,13312.530,13120.710,731002670.000,深证成指
2025-11-13,13228.500,13476.520,13488.630,13222.780,748084542.000,深证成指
2025-11-14,13323.450,13216.030,13394.060,13216.030,769416240.000,深证成指
2025-11-17,13200.540,13202.000,13251.780,13137.280,748687701.000,深证成指
2025-11-18,13161.700,13080.490,13223.120,13022.440,788847183.000,深证成指
2025-11-19,13071.940,13080.090,13164.970,13009.010,695235914.000,深证成指
2025-11-20,13215.070,12980.820,13226.040,12970.560,673147681.000,深证成指
2025-11-21,12752.720,12538.070,12812.380,12538.070,811578933.000,深证成指
2025-11-24,12605.130,12585.080,12655.290,12448.320,689953294.000,深证成指
2025-11-25,12692.090,12777.310,12882.810,12684.290,699842031.000,深证成指
2025-11-26,12769.930,12907.830,13012.330,12749.020,686733778.000,深证成指
2025-11-27,12903.910,12875.190,13082.770,12863.260,637558377.000,深证成指
2025-11-28,12869.660,12984.080,13000.070,12834.080,611391069.000,深证成指
2025-12-01,13038.160,13146.720,13149.400,12993.890,694440764.000,深证成指
2025-12-02,13130.070,13056.700,13132.810,13011.110,643851126.000,深证成指
